Time,nz-c3.C_dot,nz-c3.Level,nz-c3.total_cases,nz-c3.deaths,nz-c3.Iu,nz-c3.Ic
278,7236.345382,4,1136721.026852,18795.39588,72363.453817,45281.501982
279,7878.680285,4,1144282.548707,18849.090726,78786.802851,49868.48484
280,8400.42441,4,1152437.265417,18909.248306,84004.244098,54719.084134
281,8699.006866,4,1161007.567917,18976.357004,86990.06866,59626.361204
282,8754.068596,4,1169753.182912,19050.88596,87540.685962,64320.263184
283,8610.231908,4,1178449.208318,19133.324247,86102.319084,68544.696786
284,8335.866576,4,1186930.434831,19224.177649,83358.665765,72102.578416
285,7993.658762,4,1195098.844353,19323.902502,79936.587618,74866.988571
286,7628.849557,4,1202910.775005,19432.774352,76288.495569,76775.291727
287,7268.904497,4,1210358.677337,19550.722352,72689.044965,77819.673599
288,6927.80089,4,1217455.309296,19677.188278,69278.008902,78038.893776
289,6610.882221,4,1224222.721587,19811.068946,66108.822209,77510.48911
290,6318.664706,4,1230685.636552,19950.770608,63186.647063,76341.466718
291,6049.331622,4,1236867.968894,20094.362092,60493.31622,74656.869184
292,5800.178129,4,1242791.286556,20239.782044,58001.781291,72587.31492
293,5568.364996,4,1248474.343078,20385.046402,55683.649964,70257.470939
294,5351.270377,4,1253933.143091,20528.413048,53512.703767,67777.209474
295,5146.62849,4,1259181.241226,20668.481671,51466.284899,65236.35427
296,4952.562975,4,1264230.120711,20804.227757,49525.629747,62702.977284
297,4767.570485,4,1269089.577328,20934.983856,47675.704849,60224.526011
298,4590.481328,4,1273768.074005,21060.387294,45904.813278,57830.764852
299,4420.410053,4,1278273.050286,21180.312906,44204.100527,55537.541874
300,4256.702928,4,1282611.180385,21294.805053,42567.029283,53350.611587
301,4098.886762,4,1286788.57908,21404.017815,40988.867615,51269.025255
302,3946.622202,4,1290810.958454,21508.167426,39466.222022,49287.85513
303,3799.663614,4,1294683.741084,21607.497601,37996.636144,47400.206551
304,3657.826559,4,1298412.136864,21702.256348,36578.26559,45598.585899
305,3520.962998,4,1302001.191185,21792.681975,35209.629977,43875.7457
306,3388.943601,4,1305455.811951,21878.995853,33889.436014,42225.139798
307,3261.64609,4,1308780.782011,21961.399755,32616.460901,40641.109482
308,3138.948329,4,1311980.762419,22040.076048,31389.483291,39118.898809
309,3020.724918,4,1315060.290631,22115.189444,30207.249183,37654.572832
310,2906.846149,4,1318023.776565,22186.88945,29068.461489,36244.89019
311,2797.178419,4,1320875.498413,22255.312944,27971.784193,34887.163575
312,2691.585421,4,1323619.599292,22320.586563,26915.854211,33579.127992
313,2589.929621,4,1326260.085277,22382.828736,25899.296212,32318.827184
314,2492.073735,4,1328800.824912,22442.151323,24920.737352,31104.522114
315,2397.882022,4,1331245.550133,22498.660852,23978.820216,29934.62145
316,2307.221319,4,1333597.858348,22552.45943,23072.213195,28807.631721
317,2219.961815,4,1335861.215422,22603.645362,22199.618148,27722.123789
318,2135.977556,4,1338038.959302,22652.313566,21359.775562,26676.712011
319,2055.146759,4,1340134.304048,22698.555836,20551.467587,25670.042714
320,1977.351941,4,1342150.344078,22742.460996,19773.519408,24700.78906
321,1902.479939,4,1344090.058489,22784.11499,19024.799394,23767.649965
322,1830.421839,4,1345956.315344,22823.600944,18304.218393,22869.351317
323,1761.07285,4,1347751.875864,22860.999203,17610.7285,22004.648224
324,1694.332152,4,1349479.398477,22896.387371,16943.321519,21172.327491
325,1630.102731,4,1351141.442705,22929.840354,16301.02731,20371.209817
326,1568.301529,0,1352740.473685,22961.430413,15683.015294,19600.152264
327,1512.004993,0,1354279.658631,22991.230962,15120.049925,18858.842239
328,1485.07561,0,1355774.11298,23019.372794,14850.7561,18159.040709
329,1525.364327,0,1357272.476954,23046.162594,15253.643267,17546.155329
330,1651.289581,0,1358853.643421,23072.066291,16512.895811,17095.960449
331,1853.431077,0,1360600.455895,23097.529925,18534.310771,16888.246672
332,2107.987737,0,1362577.731192,23122.833731,21079.877373,16984.605405
333,2391.709471,0,1364825.784244,23148.089931,23917.094711,17421.217328
334,2689.483838,0,1367365.439193,23173.333994,26894.838381,18212.34233
335,2995.222891,0,1370207.031166,23198.629501,29952.228908,19357.120229
336,3309.448422,0,1373358.364861,23224.148319,33094.484223,20845.322012
337,3636.294181,0,1376829.800735,23250.215119,36362.941806,22661.18162
338,3981.234613,0,1380636.649185,23277.313761,39812.346127,24786.178839
339,4349.811106,0,1384799.797268,23306.059296,43498.111059,27201.721626
340,4747.131593,0,1389345.475503,23337.146898,47471.315931,29892.005916
341,5177.807565,0,1394304.769263,23371.294073,51778.075651,32846.719587
342,5646.06414,0,1399713.170785,23409.191786,56460.641395,36063.057065
343,6155.874879,0,1405610.261495,23451.474512,61558.748793,39546.680953
344,6710.566067,4,1412039.448659,23498.711767,67105.660672,43311.524827
345,7290.469475,4,1419040.330868,23551.413726,72904.694753,47371.288156
346,7802.708112,4,1426597.487947,23610.026878,78027.081117,51686.824727
347,8136.416304,4,1434584.974009,23674.935796,81364.163043,56109.088832
348,8244.490927,4,1442794.054478,23746.500514,82444.909274,60405.48408
349,8150.240667,4,1451006.123634,23825.097759,81502.406667,64331.888551
350,7912.449106,4,1459046.847858,23911.131226,79124.49106,67687.068752
351,7592.741916,4,1466804.163407,24004.990259,75927.419156,70333.160644
352,7239.198928,4,1474221.585794,24106.948496,72391.989276,72194.395229
353,6882.952662,4,1481282.172674,24217.019219,68829.52662,73248.738744
354,6541.092222,4,1487992.740328,24334.813338,65410.922218,73519.716789
355,6221.168413,4,1494372.061038,24459.456354,62211.684127,73069.178187
356,5925.105282,4,1500443.369551,24589.602072,59251.052817,71989.279176
357,5651.921063,4,1506230.195497,24723.544434,56519.210633,70392.564073
358,5399.378823,4,1511754.358568,24859.39508,53993.788229,68400.631346
359,5164.886252,4,1517035.211934,24995.278198,51648.862518,66133.00245
360,4945.938345,4,1522089.536098,25129.498231,49459.383453,63697.951813
361,4740.308451,4,1526931.736387,25260.653061,47403.084513,61186.440195
362,4546.111042,4,1531574.15991,25387.685277,45461.110424,58669.414312
363,4361.80259,4,1536027.440541,25509.879766,43618.025898,56198.001196
364,4186.153546,4,1540300.8285,25626.824027,41861.535459,53805.724903
365,4018.207328,4,1544402.484518,25738.348968,40182.073282,51511.801666
366,3857.234386,4,1548339.730036,25844.464945,38572.343863,49324.720599
367,3702.686113,4,1552119.251083,25945.302988,37026.861131,47245.565176
368,3554.151803,4,1555747.257356,26041.066414,35541.518027,45270.779513
369,3411.320816,4,1559229.600726,26131.994414,34113.208163,43394.280473
370,3273.951181,4,1562571.859059,26218.336852,32739.511815,41608.945635
371,3141.844993,4,1565779.39203,26300.338367,31418.449926,39907.575037
372,3014.83028,4,1568857.375621,26378.229514,30148.302805,38283.447668
373,2892.748538,4,1571810.821405,26452.222838,28927.485376,36730.589215
374,2775.44684,4,1574644.585728,26522.512112,27754.4684,35243.849475
375,2662.773451,4,1577363.372853,26589.273433,26627.734507,33818.865405
376,2554.575878,4,1579971.735018,26652.667226,25545.758784,32451.964411
377,2450.700527,4,1582474.071394,26712.840557,24507.005272,31140.044465
378,2350.993268,4,1584874.627223,26769.929373,23509.932682,29880.453791
379,2255.300448,4,1587177.49376,26824.060488,22553.004484,28670.882788
