Time,nz-c1.S,nz-c1.E,nz-c1.P,nz-c1.Iu,nz-c1.Ic,nz-c1.Ru,nz-c1.Rc,nz-c1.D,nz-c1.cases,nz-c1.Level
213.000000,4819404.506969,0.000000,0.000000,0.000000,0.000006,642.494724,1485.899374,21.498930,1500.908464,4.000000
214.000000,4819404.506969,0.000000,0.000000,0.000000,0.000005,642.494724,1485.899375,21.498930,1500.908464,4.000000
215.000000,4819404.506969,0.000000,0.000000,0.000000,0.000005,642.494724,1485.899375,21.498930,1500.908464,4.000000
216.000000,4819404.506969,0.000000,0.000000,0.000000,0.000004,642.494724,1485.899375,21.498930,1500.908464,4.000000
217.000000,4819404.506969,0.000000,0.000000,0.000000,0.000004,642.494724,1485.899376,21.498930,1500.908464,4.000000
218.000000,4819404.506969,0.000000,0.000000,0.000000,0.000004,642.494724,1485.899376,21.498930,1500.908464,4.000000
219.000000,4819404.506969,0.000000,0.000000,0.000000,0.000003,642.494724,1485.899377,21.498930,1500.908464,4.000000
220.000000,4819404.506969,0.000000,0.000000,0.000000,0.000003,642.494724,1485.899377,21.498930,1500.908464,4.000000
221.000000,4819404.506969,0.000000,0.000000,0.000000,0.000003,642.494724,1485.899377,21.498930,1500.908464,4.000000
222.000000,4819404.506969,0.000000,0.000000,0.000000,0.000002,642.494724,1485.899377,21.498930,1500.908464,4.000000
223.000000,4819404.506969,0.000000,0.000000,0.000000,0.000002,642.494724,1485.899378,21.498930,1500.908464,4.000000
224.000000,4819404.506969,0.000000,0.000000,0.000000,0.000002,642.494724,1485.899378,21.498930,1500.908464,4.000000
225.000000,4819404.506969,0.000000,0.000000,0.000000,0.000002,642.494724,1485.899378,21.498930,1500.908464,4.000000
226.000000,4819404.506969,0.000000,0.000000,0.000000,0.000002,642.494724,1485.899378,21.498930,1500.908464,4.000000
227.000000,4819404.506969,0.000000,0.000000,0.000000,0.000001,642.494724,1485.899378,21.498930,1500.908464,4.000000
